Init Import Duration,15.344844341278076
Init Perception Planning Duration,11.332517862319946
Init Functions Duration,0.00027680397033691406
Init Post Duration,0.03723478317260742
Total Init Duration,26.716286659240723
Target Object,obj_000070_0
Pick Count,1
Grasp Result,no_valid_grasps_found
Retrieved Target Object,False
